2025-02-21 09:13:54.097 [error] #2: https://www.vscode-unpkg.net/_gallery/robocorp/robotframework-lsp/latest - error GET Fetch timeout: 10000ms
2025-02-21 09:13:55.147 [error] #1: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 09:14:19.727 [error] #3: https://marketplace.visualstudio.com/_apis/public/gallery/extensionquery - error POST Failed to fetch
2025-02-21 09:19:23.403 [error] #4: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 09:24:48.907 [error] #5: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 09:30:13.901 [error] #6: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 09:35:40.203 [error] #7: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 09:41:07.977 [error] #8: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 09:46:34.569 [error] #9: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 09:51:59.979 [error] #10: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 09:57:28.043 [error] #11: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 10:02:56.138 [error] #12: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 10:08:24.204 [error] #13: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 10:13:52.268 [error] #14: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 10:19:20.650 [error] #15: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 10:24:45.612 [error] #16: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 10:30:11.627 [error] #17: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 10:35:36.619 [error] #18: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 10:41:01.609 [error] #19: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 10:46:26.633 [error] #20: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 10:51:51.626 [error] #21: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 10:57:19.657 [error] #22: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 11:02:46.409 [error] #23: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 11:08:11.625 [error] #24: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 11:13:36.619 [error] #25: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 11:19:01.609 [error] #26: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
2025-02-21 11:37:49.739 [error] #27: https://main.vscode-cdn.net/extensions/chat.json - error GET Failed to fetch
