2025-02-21 09:13:11.084 [warning] Via 'product.json#extensionEnabledApiProposals' extension 'ms-vscode.vscode-selfhost-test-provider' wants API proposal 'attributableCoverage' but that proposal DOES NOT EXIST. Likely, the proposal has been finalized (check 'vscode.d.ts') or was abandoned.
2025-02-21 09:13:11.085 [warning] Via 'product.json#extensionEnabledApiProposals' extension 'ms-python.python' wants API proposal 'contribIssueReporter' but that proposal DOES NOT EXIST. Likely, the proposal has been finalized (check 'vscode.d.ts') or was abandoned.
2025-02-21 09:13:11.085 [warning] Via 'product.json#extensionEnabledApiProposals' extension 'ms-python.debugpy' wants API proposal 'contribIssueReporter' but that proposal DOES NOT EXIST. Likely, the proposal has been finalized (check 'vscode.d.ts') or was abandoned.
2025-02-21 09:13:11.086 [warning] Via 'product.json#extensionEnabledApiProposals' extension 'redhat.java' wants API proposal 'documentPaste' but that proposal DOES NOT EXIST. Likely, the proposal has been finalized (check 'vscode.d.ts') or was abandoned.
2025-02-21 09:13:13.562 [info] Started local extension host with pid 36159.
2025-02-21 09:13:24.868 [info] Settings Sync: Account status changed from uninitialized to unavailable
2025-02-21 09:13:47.280 [info] [perf] Render performance baseline is 253ms
2025-02-21 09:13:54.098 [error] Error while getting the latest version for the extension robocorp.robotframework-lsp. Fetch timeout: 10000ms
2025-02-21 09:13:55.147 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 09:19:23.433 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 09:24:48.964 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 09:30:13.965 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 09:35:40.265 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 09:41:08.048 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 09:46:34.611 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 09:52:00.063 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 09:57:28.124 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 10:02:56.224 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 10:08:24.293 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 10:13:52.351 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 10:19:20.729 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 10:24:45.725 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 10:30:11.712 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 10:35:36.698 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 10:41:01.640 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 10:46:26.677 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 10:51:51.687 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 10:57:19.710 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 11:02:46.461 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 11:08:11.664 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 11:13:36.657 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 11:19:01.665 [warning] Failed to fetch chat participant registry Failed to fetch
2025-02-21 11:37:49.776 [warning] Failed to fetch chat participant registry Failed to fetch
